category,Users,Volume,Transactions
1543795200000,167,167,167
1543708800000,164,164,164
1543622400000,159,159,159
1543536000000,154,154,154
1543449600000,188,188,188
1543363200000,156,156,156
1543276800000,152,152,152
1543190400000,193,193,193
1543104000000,147,147,147
1543017600000,191,191,191
1542931200000,159,159,159
1542844800000,197,197,197
1542758400000,190,190,190
1542672000000,182,182,182
1542585600000,182,182,182
1542499200000,155,155,155
1542412800000,170,170,170
1542326400000,172,172,172
1542240000000,182,182,182
1542153600000,192,192,192
1542067200000,185,185,185
1541980800000,207,207,207
1541894400000,193,193,193
1541808000000,193,193,193
1541721600000,199,199,199
1541635200000,181,181,181
1541548800000,177,177,177
1541462400000,156,156,156
1541376000000,141,141,141
1541289600000,136,136,136
1541203200000,138,138,138
1541116800000,134,134,134
1541030400000,152,152,152
1540944000000,131,131,131
1540857600000,123,123,123
1540771200000,129,129,129
1540684800000,137,137,137
1540598400000,128,128,128
1540512000000,114,114,114
1540425600000,117,117,117
1540339200000,123,123,123
1540252800000,123,123,123
1540166400000,117,117,117
1540080000000,109,109,109
1539993600000,101,101,101
1539907200000,97,97,97
1539820800000,96,96,96
1539734400000,118,118,118
1539648000000,130,130,130
1539561600000,128,128,128
1539475200000,100,100,100
1539388800000,98,98,98
1539302400000,110,110,110
1539216000000,105,105,105
1539129600000,106,106,106
1539043200000,113,113,113
1538956800000,111,111,111
1538870400000,104,104,104
1538784000000,48,48,48
1538697600000,58,58,58
1538611200000,49,49,49
1538524800000,55,55,55
1538438400000,59,59,59
1538352000000,56,56,56
1538265600000,52,52,52
1538179200000,53,53,53
1538092800000,22,22,22
1538006400000,21,21,21
1537920000000,17,17,17
1537833600000,22,22,22
1537747200000,20,20,20
1537660800000,19,19,19
1537574400000,29,29,29
1537488000000,16,16,16
1537401600000,14,14,14
1537315200000,22,22,22
